epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,23750.4672,17794.9571,2e-06,-1.327437,1.483464,133.3977,True,False
2,18276.3111,12085.6569,1e-06,-0.580707,1.222542,109.9348,True,False
3,12376.5743,8291.6087,1e-06,-0.084476,1.012623,91.0583,True,False
4,9514.5865,7650.1861,1e-06,-0.000583,0.972668,87.4653,True,False
5,9036.8443,7735.0686,1e-06,-0.011685,0.978049,87.9492,False,False
6,9035.6649,7741.0012,1e-06,-0.012461,0.978424,87.983,False,False
7,9037.1488,7746.8289,1e-06,-0.013223,0.978792,88.0161,False,False
8,9051.0121,7738.8377,1e-06,-0.012178,0.978287,87.9707,False,False
9,9028.0713,7737.7223,1e-06,-0.012032,0.978217,87.9643,False,False
10,9031.1631,7740.5441,1e-06,-0.012401,0.978395,87.9804,False,False
11,9039.5087,7729.1974,1e-06,-0.010917,0.977678,87.9159,False,False
12,9024.5195,7741.0898,1e-06,-0.012472,0.978429,87.9835,False,False
13,9032.9953,7745.8645,1e-06,-0.013097,0.978731,88.0106,False,False
14,9021.3444,7769.3757,1e-06,-0.016172,0.980215,88.1441,False,False
15,9060.1915,7730.433,1e-06,-0.011078,0.977756,87.9229,False,False
16,9042.2678,7747.7001,1e-06,-0.013337,0.978847,88.021,False,False
17,9029.8635,7740.5113,1e-06,-0.012397,0.978393,87.9802,False,False
18,9018.6291,7753.9881,0.0,-0.014159,0.979244,88.0567,False,False
19,9040.3804,7727.4058,0.0,-0.010682,0.977564,87.9057,False,False
20,9043.6097,7772.2208,0.0,-0.016544,0.980395,88.1602,False,False
21,9039.9405,7729.4633,0.0,-0.010952,0.977694,87.9174,False,False
22,9022.3304,7747.9722,0.0,-0.013372,0.978864,88.0226,False,False
23,9048.4138,7730.6333,0.0,-0.011105,0.977769,87.924,False,False
24,9047.6315,7740.0756,0.0,-0.01234,0.978365,87.9777,False,False
25,9033.6679,7730.6038,0.0,-0.011101,0.977767,87.9239,False,False
26,9025.8734,7733.9995,0.0,-0.011545,0.977981,87.9432,False,False
27,9046.0575,7732.3051,0.0,-0.011323,0.977874,87.9335,False,False
28,9047.9717,7738.0502,0.0,-0.012075,0.978237,87.9662,False,False
29,9023.1508,7756.095,0.0,-0.014435,0.979377,88.0687,False,False
30,9034.3666,7724.7276,0.0,-0.010332,0.977395,87.8904,False,False
31,9029.7171,7756.1779,2e-06,-0.014446,0.979383,88.0692,False,False
32,9044.3997,7759.9278,3e-06,-0.014936,0.979619,88.0905,False,False
33,9045.4433,7774.1228,6e-06,-0.016793,0.980515,88.171,False,False
34,9053.7241,7788.6377,1e-05,-0.018691,0.98143,88.2533,False,False
35,9063.155,7738.8043,3e-05,-0.012173,0.978285,87.9705,False,False
36,8937.7693,6944.4918,0.061124,0.091716,0.92672,83.3336,True,False
37,5206.7918,2815.6287,0.766735,0.631738,0.590087,53.0625,True,False
38,3618.1338,2672.5642,0.823789,0.65045,0.5749,51.6968,True,False
39,3276.2969,2424.4349,0.821464,0.682903,0.547563,49.2385,True,False
40,3073.1451,2845.6597,0.890323,0.627811,0.593226,53.3447,False,False
41,2968.1096,2316.5363,0.827194,0.697016,0.535239,48.1304,True,False
42,2866.1775,2386.6328,0.794281,0.687848,0.543277,48.8532,False,False
43,2738.7905,2409.092,0.77625,0.68491,0.545827,49.0825,False,False
44,2646.0415,1970.9879,0.92434,0.742211,0.493708,44.3958,True,False
45,2628.233,2350.384,0.862013,0.692589,0.539135,48.4808,False,False
46,2596.4763,2337.5526,0.84015,0.694267,0.537662,48.3482,False,False
47,2491.8159,2375.9675,0.820202,0.689243,0.542062,48.7439,False,False
48,2423.3136,2185.4745,0.895219,0.714157,0.519878,46.7491,False,False
49,2407.6404,2559.0383,0.840028,0.665298,0.562557,50.5869,False,False
50,2327.4663,2742.902,0.949806,0.64125,0.582416,52.3727,False,False
51,2375.8522,2648.9056,0.923126,0.653544,0.57235,51.4675,False,False
52,2298.9695,2104.0747,0.823977,0.724804,0.510104,45.8702,False,False
53,2350.165,2501.9123,0.999897,0.67277,0.556243,50.0191,False,False
54,2320.4312,2209.9117,0.854504,0.710961,0.522776,47.0097,False,False
55,2338.0877,2350.5826,0.939921,0.692563,0.539158,48.4828,False,False
56,2257.8112,2494.1644,0.958103,0.673783,0.555381,49.9416,False,False
57,2273.5526,2909.7721,0.933803,0.619425,0.599871,53.9423,False,False
58,2300.9849,2491.2108,0.884142,0.67417,0.555052,49.912,False,False
59,2214.479,2562.7305,0.855439,0.664816,0.562963,50.6234,False,True
