epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,23750.4672,17794.9571,2e-06,-1.327437,1.483464,133.3977,True,False
2,18276.3111,12085.6569,1e-06,-0.580707,1.222542,109.9348,True,False
3,12376.5743,8291.6087,1e-06,-0.084476,1.012623,91.0583,True,False
4,9514.5865,7650.1861,1e-06,-0.000583,0.972668,87.4653,True,False
5,9036.8443,7735.0686,1e-06,-0.011685,0.978049,87.9492,False,False
6,9035.6649,7741.0012,1e-06,-0.012461,0.978424,87.983,False,False
7,9037.1488,7746.8289,1e-06,-0.013223,0.978792,88.0161,False,False
8,9051.0121,7738.8377,1e-06,-0.012178,0.978287,87.9707,False,False
9,9028.0713,7737.7223,1e-06,-0.012032,0.978217,87.9643,False,False
10,9031.1631,7740.5441,1e-06,-0.012401,0.978395,87.9804,False,False
11,9039.5087,7729.1974,1e-06,-0.010917,0.977678,87.9159,False,False
12,9024.5195,7741.0898,1e-06,-0.012472,0.978429,87.9835,False,False
13,9032.9953,7745.8645,1e-06,-0.013097,0.978731,88.0106,False,False
14,9021.3444,7769.3757,1e-06,-0.016172,0.980215,88.1441,False,False
15,9060.1915,7730.433,1e-06,-0.011078,0.977756,87.9229,False,False
16,9042.2678,7747.7001,1e-06,-0.013337,0.978847,88.021,False,False
17,9029.8635,7740.5113,1e-06,-0.012397,0.978393,87.9802,False,False
18,9018.6291,7753.9881,0.0,-0.014159,0.979244,88.0567,False,False
19,9040.3804,7727.4058,0.0,-0.010682,0.977564,87.9057,False,True
